"","sex","Occasion","N","se","LCL","UCL","surveys2"
"1","F",1,16.9068133825623,4.88023582085725,7.34155117368208,26.4720755914425,41654
"2","F",2,16.9136763820994,4.68581474969137,7.72947947270432,26.0978732914945,41656
"3","F",3,16.9969247565659,4.50296182306495,8.17111958335864,25.8227299297732,41657
"4","F",4,17.0797660278495,4.32427235174845,8.60419221842257,25.5553398372765,41658
"5","F",5,17.0849466681605,4.14516206832412,8.9604290142452,25.2094643220758,41660
"6","F",6,17.013184448564,3.96854849378528,9.23482940074482,24.7915394963831,41663
"7","F",7,17.0959541322165,3.80434704893011,9.63943391631347,24.5524743481195,41664
"8","F",8,17.1783191367303,3.64609716915834,10.0319686851799,24.3246695882806,41665
"9","F",9,17.1825544658405,3.49341422635848,10.3354625821779,24.0296463495031,41667
"10","F",10,17.1867541522786,3.34874258499937,10.6232186856798,23.7502896188773,41669
"11","F",11,17.1135390470494,3.2141012254378,10.8139006451913,23.4131774489074,41672
"12","F",12,17.1958293300553,3.08546098496235,11.1483257995291,23.2433328605815,41673
"13","F",13,16.9688041925962,2.97947019771819,11.1290426050686,22.8085657801239,41678
"14","F",14,16.9751267499161,2.87434814071266,11.3414043941193,22.6088491057129,41680
"15","F",15,16.3811123565853,2.83657994983656,10.8214156549056,21.940809058265,41690
"16","F",16,16.4670173277247,2.7465536086045,11.0837722548599,21.8502624005895,41691
"17","F",17,16.4782789750959,2.67854732458286,11.2283262189135,21.7282317312783,41693
"18","F",18,16.5637100150342,2.6154440388881,11.4374396988136,21.6899803312549,41694
"19","F",19,16.4257474109355,2.59397031848893,11.3415655866972,21.5099292351738,41698
"20","F",20,11.4536086381443,3.5896295938435,4.41793463421105,18.4892826420776,41782
"21","F",21,11.4641907077408,3.54166644396691,4.52252447756563,18.4058569379159,41785
"22","F",22,7.86099097387566,4.04210608570093,-0.0615369540981616,15.7835189018495,41878
"23","F",23,7.73146046122471,3.98974989657523,-0.0884493360627321,15.5513702585122,41887
"24","F",24,7.79538813429105,3.93224519891105,0.0881875444253897,15.5025887241567,41890
"25","F",25,7.92293308913199,3.88045735519164,0.317236672956365,15.5286295053076,41891
"26","F",26,8.0498479470574,3.84013423523589,0.523184845995046,15.5765110481198,41892
"27","F",27,7.59484141314493,3.85415780207075,0.0406921210862627,15.1489907052036,41911
"28","F",28,7.72327899235995,3.82953239468771,0.217395498772032,15.2291624859479,41912
"29","F",29,7.8510821281408,3.81659941924075,0.370547266428927,15.3316169898527,41913
"30","F",30,6.7291070256695,3.84646566292487,-0.809965673663251,14.2681797250023,41956
"31","F",31,3.18497223568075,3.37312072782131,-3.42634439084901,9.7962888622105,42166
"32","F",32,3.33374503539239,3.33156184277584,-3.19611617644826,9.86360624723304,42167
"33","F",33,3.48178276929151,3.30394468855763,-2.99394882028144,9.95751435886446,42168
"34","M",1,26.5356424073086,7.88377594499895,11.0834415551106,41.9878432595065,41654
"35","M",2,26.7457193383487,7.57506214325071,11.8985975375773,41.5928411391201,41656
"36","M",3,26.9797022341516,7.26738237788302,12.7356327735009,41.2237716948023,41657
"37","M",4,27.2134815157124,6.9617062219054,13.5685373207778,40.858425710647,41658
"38","M",5,27.4223847670326,6.66000017250622,14.3687844289204,40.4759851051448,41660
"39","M",6,27.6061031733672,6.36326195460856,15.1341097423345,40.0780966044,41663
"40","M",7,27.8393457529235,6.06493628183076,15.9520706405352,39.7266208653118,41664
"41","M",8,28.0723853920052,5.76976614439203,16.7636437489968,39.3811270350136,41665
"42","M",9,28.2798113770063,5.48130052915787,17.5364623398569,39.0231604141557,41667
"43","M",10,28.4868822292931,5.19723869220118,18.3002943925788,38.6734700660074,41669
"44","M",11,28.6678582759734,4.92207525084528,19.0205907843166,38.3151257676301,41672
"45","M",12,28.9001883960695,4.64463848096255,19.7966969733829,38.0036798187561,41673
"46","M",13,29.0279930870583,4.39197096893787,20.4197299879401,37.6362561861766,41678
"47","M",14,29.2338023186184,4.13329256379565,21.1325488935789,37.3350557436578,41680
"48","M",15,29.2290257437039,3.9303120852461,21.5256140566216,36.9324374307863,41690
"49","M",16,29.4609071401791,3.68522966831284,22.237856990286,36.6839572900723,41691
"50","M",17,29.6660196441291,3.45961972022718,22.8851649924838,36.4468742957743,41693
"51","M",18,29.8975236436705,3.24262254038003,23.5419834645256,36.2530638228153,41694
"52","M",19,30.0480734540815,3.06519269996054,24.0402957621589,36.0558511460042,41698
"53","M",20,28.119933306612,3.83820371350015,20.5970540281517,35.6428125850723,41782
"54","M",21,28.3026826810492,3.70270127753059,21.0453881770893,35.5599771850092,41785
"55","M",22,26.3045248063478,4.93753899723994,16.6269483717575,35.9821012409381,41878
"56","M",23,26.35289615321,4.92948481438092,16.6911059170234,36.0146863893966,41887
"57","M",24,26.5409205478808,4.84992011809405,17.0350771164164,36.0467639793451,41890
"58","M",25,26.7755944036507,4.75944659292485,17.447079081518,36.1041097257834,41891
"59","M",26,27.010063297246,4.68943336216279,17.8187739074069,36.201352687085,41892
"60","M",27,26.8160701843306,4.90759337990683,17.1971871597132,36.434953208948,41911
"61","M",28,27.0505383733854,4.87270315909315,17.5000401815628,36.601036565208,41912
"62","M",29,27.2848017440215,4.85883461516051,17.7614858983069,36.8081175897361,41913
"63","M",30,26.5224136039706,5.44459934014766,15.8509988972812,37.19382831066,41956
"64","M",31,22.3073767328556,7.93345949515047,6.75779612236065,37.8569573433505,42166
"65","M",32,22.5461584091378,7.88464666474843,7.09225094623091,38.0000658720448,42167
"66","M",33,22.7847307355838,7.84894521972867,7.40079810491558,38.168663366252,42168
